#{"t_start": 1769142870.3963459, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
80.0,1117,1088.78817
510.0,3527,1112.005958
415.0,2749,1130.17984
60.0,1583,1140.252232
85.0,1833,1152.214068
400.0,3215,1173.491418
175.0,3029,1192.476816
210.0,2381,1207.72963
30.0,1643,1218.534431
120.0,2015,1231.526419
175.0,2675,1249.297054
105.0,1993,1261.996897
360.0,2541,1278.737968
75.0,1297,1286.497193
180.0,2375,1302.6741
320.0,4153,1329.963582
410.0,2421,1345.410126
260.0,3217,1366.028999
65.0,1949,1378.463601
60.0,2541,1395.843417
265.0,2313,1410.811429
110.0,1735,1422.252825
175.0,2423,1437.784842
180.0,2415,1453.288514
105.0,1835,1465.325592
85.0,1829,1477.169628
135.0,2429,1492.691536
125.0,2547,1509.198204
145.0,2013,1522.218838
265.0,3955,1548.372333
155.0,2367,1564.200714
105.0,2347,1580.030939
105.0,2211,1594.3603
130.0,1941,1606.825928
485.0,3073,1626.393098
495.0,2873,1645.728956
170.0,3753,1670.001103
165.0,1997,1682.827276
175.0,2411,1698.914589
135.0,2343,1714.144494
260.0,2915,1732.916971
105.0,1939,1745.695248
380.0,2521,1762.834054
215.0,4813,1794.491984
210.0,2549,1811.041168
210.0,2441,1827.007797
135.0,2213,1841.943232
180.0,2525,1858.518604
320.0,2551,1874.886181
185.0,2719,1892.649119
210.0,2605,1910.124198
185.0,2477,1926.166902
380.0,2439,1941.846671
120.0,2049,1955.177798
180.0,2419,1970.938425
355.0,2365,1987.080452
215.0,2427,2002.840447
155.0,2383,2018.493976
180.0,2543,2034.785589
210.0,2693,2053.228275
190.0,2923,2072.035691
140.0,1911,2084.565351
180.0,2537,2100.906878
355.0,2389,2116.970862
260.0,3315,2138.759154
110.0,1939,2151.43213
410.0,2503,2167.607087
355.0,2337,2183.53285
105.0,2021,2196.906132
90.0,1817,2208.140772
185.0,2453,2224.785203
155.0,2425,2240.541654
230.0,2585,2257.219252
105.0,1939,2269.898355
345.0,2607,2286.934844
250.0,3137,2307.776304
105.0,1307,2316.64188
135.0,2397,2332.147789
210.0,2423,2347.838809
210.0,2495,2363.958691
110.0,1295,2372.791928
210.0,2505,2389.144227
190.0,2021,2402.393994
285.0,2835,2421.707021
155.0,2347,2436.96226
190.0,2627,2453.867303
410.0,2543,2470.427965
380.0,2605,2488.340327
155.0,2469,2504.388949
110.0,2001,2517.469088
230.0,2861,2535.802986
210.0,2553,2553.28832
225.0,2811,2571.619133
335.0,2601,2588.597018
180.0,2603,2606.807237
275.0,2951,2625.980989
130.0,1939,2638.785168
110.0,2395,2654.649529
110.0,1943,2667.534205
155.0,2623,2685.85376
180.0,2523,2702.399157
260.0,2911,2721.913249
180.0,2439,2738.381329
180.0,2409,2754.118168
180.0,2445,2769.968814
180.0,2509,2786.572915
135.0,2389,2803.034106
130.0,2347,2818.465916
180.0,2489,2851.303064
210.0,2445,2868.383507
225.0,2837,2886.681872
105.0,1821,2898.703962
105.0,2013,2912.238239
440.0,2909,2931.445898
170.0,1985,2944.649659
180.0,2535,2961.898875
75.0,1263,2969.618677
210.0,2475,2986.856747
230.0,2955,3006.039008
50.0,1891,3018.584559
330.0,4433,3047.974808
120.0,2375,3064.206217
135.0,2541,3081.201433
